term	warmth (W)	competence (C)	sociability (S)	trust (T)
stubbornness	-0.524	0.016	-0.524	-0.361
stuck	-0.458	-0.430	-0.458	-0.121
stuck on	-0.042	-0.482	-0.042	0.030
stuck up	-0.917	-0.194	-0.917	-0.455
stuck with	0.190	-0.488	0.190	-0.083
stuckup	-0.958	-0.274	-0.958	-0.639
studded	0.000	-0.150	0.000	0.000
student	0.810	0.074	0.810	0.667
student council	0.875	0.234	0.875	0.583
student loan	-0.167	0.064	-0.167	0.000
student teaching	0.875	0.300	0.875	0.556
student union	0.833	0.322	0.833	0.556
studentship	0.394	-0.370	0.143	0.394
studied	0.727	0.612	-0.143	0.727
studies	0.606	0.542	0.185	0.606
studio	0.111	0.240	0.111	0.037
studio album	0.167	0.186	0.167	0.139
studious	0.697	0.556	0.619	0.697
studiously	0.545	0.458	-0.167	0.545
studiousness	0.515	0.458	0.238	0.515
study	0.879	0.536	0.037	0.879
study abroad	0.875	0.222	0.875	0.273
stuff it	-0.500	-0.104	-0.500	-0.455
stuffed animal	0.958	-0.373	0.958	0.455
stuffily	-0.583	-0.583	-0.583	-0.367
